0 	 7.50839e+28 	 1.08071e+35
1e-08 	 1.43456e+29 	 1.0883e+35
2e-08 	 3.14368e+29 	 8.75691e+34
3e-08 	 5.03234e+29 	 8.58949e+34
4e-08 	 6.49158e+29 	 7.98699e+34
5e-08 	 7.26484e+29 	 6.62116e+34
6e-08 	 7.46007e+29 	 7.17152e+34
7e-08 	 7.31687e+29 	 5.49872e+34
8e-08 	 6.95202e+29 	 5.12566e+34
9e-08 	 6.37117e+29 	 4.49142e+34
1e-07 	 5.73722e+29 	 3.82778e+34
1.1e-07 	 5.1671e+29 	 3.21844e+34
1.2e-07 	 4.56065e+29 	 2.72617e+34
1.3e-07 	 4.04713e+29 	 2.29806e+34
1.4e-07 	 3.5576e+29 	 1.93969e+34
1.5e-07 	 3.12488e+29 	 1.6456e+34
1.6e-07 	 2.76589e+29 	 1.40597e+34
1.7e-07 	 2.42803e+29 	 1.19779e+34
1.8e-07 	 2.12353e+29 	 1.02837e+34
1.9e-07 	 1.89676e+29 	 8.82257e+33
2e-07 	 1.66491e+29 	 7.58973e+33
2.1e-07 	 1.4644e+29 	 6.55473e+33
2.2e-07 	 1.29442e+29 	 5.6907e+33
2.3e-07 	 1.15006e+29 	 4.95731e+33
2.4e-07 	 1.02393e+29 	 4.33737e+33
2.5e-07 	 9.10162e+28 	 3.80442e+33
2.6e-07 	 8.20375e+28 	 3.36145e+33
2.7e-07 	 7.32882e+28 	 2.97029e+33
2.8e-07 	 6.60809e+28 	 2.62473e+33
2.9e-07 	 5.9274e+28 	 2.34281e+33
3e-07 	 5.31188e+28 	 2.09743e+33
3.1e-07 	 4.80069e+28 	 1.88312e+33
3.2e-07 	 4.37026e+28 	 1.68781e+33
3.3e-07 	 3.9632e+28 	 1.51945e+33
3.4e-07 	 3.58156e+28 	 1.36982e+33
3.5e-07 	 3.29815e+28 	 1.2464e+33
3.6e-07 	 3.00158e+28 	 1.13215e+33
3.7e-07 	 2.7818e+28 	 1.02405e+33
3.8e-07 	 2.54689e+28 	 9.31505e+32
3.9e-07 	 2.33967e+28 	 8.53864e+32
4e-07 	 2.14866e+28 	 7.87739e+32
4.1e-07 	 1.98949e+28 	 7.15475e+32
4.2e-07 	 1.82304e+28 	 6.62652e+32
4.3e-07 	 1.70134e+28 	 6.07838e+32
4.4e-07 	 1.55896e+28 	 5.61847e+32
4.5e-07 	 1.46375e+28 	 5.19874e+32
4.6e-07 	 1.3557e+28 	 4.80482e+32
4.7e-07 	 1.25338e+28 	 4.45875e+32
4.8e-07 	 1.16141e+28 	 4.1608e+32
4.9e-07 	 1.0902e+28 	 3.88739e+32
5e-07 	 1.02086e+28 	 3.63457e+32
